,Description,Course URL,Assessment of Sustainability Focused or Inclusive,Justification for classification (including quotes from syllabi/course descriptions where applicable),Course Title
4412,"Description: This course will introduce you to the major monuments of Rome, Pompeii, and Herculaneum. We will focus not only on the history and functions of these monuments in antiquity but also on how their meaning and representation has changed and evolved in the post-classical world. Instructor Permission Required.Cross-list: CLAS 321. Repeatable for Credit. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=318&p_subj=HART,N,0,Rome: The Eternal City
4413,"An error occurred: HTTPSConnectionPool(host='courses.rice.edu', port=443): Read timed out. (read timeout=1)",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=319&p_subj=HART,N,0,Architecture Islamic Empires
4414,"An error occurred: HTTPSConnectionPool(host='courses.rice.edu', port=443): Read timed out. (read timeout=1)",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=321&p_subj=HART,N,0,Istanbul Imperial City
4415,"Description: A seminar on key topics of the study of visual cultures in the medieval and early modern Muslim world focused on specific works of art. Politics of architectural patronage, dissemination of visual languages, calligraphy, ""ornament"" and figural representation in Islam, cross-cultural exchanges and trans-religious iconographies are among the topics discussed. Cross-list: ARCH 332, Graduate/Undergraduate Equivalency: HART 522. Mutually Exclusive: Cannot register for HART 322 if student has credit for HART 522. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=322&p_subj=HART,N,0,Jerusalem To Isfahan
4416,"Description: This seminar explores figural painting and arts of the book in the Persianate cultural sphere, ca. 1300s-1800s. We will study concepts of the book in Islamic civilization, illustrated narratives of Persian literature, word/image relationship, albums, and single-page portraits. The class also examines artistic interactions with East Asia and Europe, and concludes with the advent of lithography in the nineteenth century. Some course meetings will take place at Houston-area museums. Graduate/Undergraduate Equivalency: HART 524. Mutually Exclusive: Cannot register for HART 324 if student has credit for HART 524. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=324&p_subj=HART,N,0,Persianate Book Arts
4417,"Description: From Ottoman coffeehouses to Japanese teahouses to Parisian cafes, the collective consumption of substances such as coffee, tea, and tobacco has long created distinctive material cultures, artworks, and architectural spaces. In this course, we trace the dissemination of these stimulants across the globe from the sixteenth century onward. We will examine the material context of the substances in different scales, ranging from utensils to interior spaces and broader urban landscapes. Routes of transfer will be explored along with the development of new forms of sociability, material objects, and architectural types such as coffeehouses, teahouses, and smoking rooms. This course occasionally meets at an area museum during the semester. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=325&p_subj=HART,N,1,Coffeehouse Teahouse History
4418,"Description: ""Architectural Revolution"" has been tied to Le Corbusier, the Eiffel Tower, the Louvre, Brunelleschi and to towering Gothic cathedrals. At the foundation of all these endeavors is the Concrete Revolution in Roman Architecture. In this course we'll look at the four essential elements of this revolution from the fourth century BCE to the fifth century CE, and we'll investigate how shifts in application and experience created a background that informs design to this day. Cross-list: ARCH 326, CLAS 326, Graduate/Undergraduate Equivalency: HART 626. Mutually Exclusive: Cannot register for HART 326 if student has credit for HART 626. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=326&p_subj=HART,N,0,"Material, Form, Space, Time"
4419,"Description: This course explores the roots of the art and architecture of ancient Rome (ca. 600-200 BCE). In it we will examine the earliest vestiges of sculpture, painting and architecture from the Archaic and Classical periods to the twisted forms of Hellenistic conquest. You will grapple with the questions of cultural agency, connoisseurship, cultural interaction, network and object theories and spatial imagination to question standard narratives that divide Rome in this time from neighboring Greek polities. Cross-list: CLAS 324, Graduate/Undergraduate Equivalency: HART 627. Mutually Exclusive: Cannot register for HART 327 if student has credit for HART 627. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=327&p_subj=HART,N,0,The Genesis Of Roman Art
4420,"An error occurred: HTTPSConnectionPool(host='courses.rice.edu', port=443): Read timed out. (read timeout=1)",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=329&p_subj=HART,N,0,Streets And Urban Life
4421,"Description: Early Medieval Art from the 5th Century to the Romanesque period.  This course begins with a study of the art and architecture of the Ostrogoths, Visigoths, Lombards, Celts, Anglo-Saxons, Franks, and Merovingians, and the transformation of the Roman World through new Germanic, Barbarian, and Christian forces.  The second part of the course considers the cultural Renaissance of the Carolingian and Ottonian Periods under rulers such as Charlemagne and Otto III.  The last third of the course focuses on themes of pilgrimage, relics, crusades and the emergence of new monumental tradition in art and architecture during the Romanesque Period. Cross-list: MDEM 330, Graduate/Undergraduate Equivalency: HART 530. Mutually Exclusive: Cannot register for HART 330 if student has credit for HART 530. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=330&p_subj=HART,N,0,Early Medieval Art
4422,"Description: Examination of the full array of sacred art and architecture produced in the early and high gothic periods in northern Europe.  Includes cathedral architecture, sculpture, stained glass, manuscripts, and metalwork studies in relationship to the expansion of royal and Episcopal power. Cross-list: MDEM 331, Graduate/Undergraduate Equivalency: HART 531. Mutually Exclusive: Cannot register for HART 331 if student has credit for HART 531. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=331&p_subj=HART,N,0,Gothic Art
4423,"Description: Examination of art and architecture produced in the late gothic period within three distinct settings--the court, the city, and the church.  Includes private, public, and religious life as expressed in the objects, architecture, and decoration of the castle and palace, the house, the city hall and hospital, and the chapel and parish church. Cross-list: MDEM 332, Graduate/Undergraduate Equivalency: HART 532. Mutually Exclusive: Cannot register for HART 332 if student has credit for HART 532. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=332&p_subj=HART,N,0,Art Of The Courts
4424,"Description: The class has several goals: to gain a thorough historical understanding of prints by major masters as Schongauer, Mantegna, Düer, and Rembrandt as well as more popular prints, explore key issues in the study of prints, such as how they revolutionized European culture, their patronage, markets, functions, and techniques; and to examine the prints first-hand. Graduate/Undergraduate Equivalency: HART 525. Mutually Exclusive: Cannot register for HART 333 if student has credit for HART 525. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=333&p_subj=HART,N,0,Looking At Prints 1400-1700
4425,"Description: This seminar will look in detail at three of the twentieth century's most important artists: Pablo Picasso, Jackson Pollock, and Andy Warhol. Our central focus in doing so will be painting, in particular, the means by which these three artists tested, expanded or even ""destroyed"" the medium. What did it mean to make (or reject) painting in 1910, 1950, and 1965? Special attention will be paid to recent scholarly literature and close looking at works in local collections. Graduate/Undergraduate Equivalency: HART 546. Mutually Exclusive: Cannot register for HART 334 if student has credit for HART 546. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=334&p_subj=HART,N,0,"Picasso, Pollock, Warhol"
4426,"Description: Saints, mystics, monsters, and demons: in the Middle Ages, these figures were defined both by their actions and by the distinct and diverse bodies that marked them as radical. This course investigates the representation and perception of bodies, human and otherwise, in medieval visual culture by focusing on bodies that were thought to be “different.” Bodies carried with them hidden anatomical structures, marks of social and cultural status, and, in the eyes of the Church, the sin that came with human sexuality. How did artists and craftsmen make the body’s multiple meanings and messages intelligible in images? From diagrams in medical manuscripts to sculptures adorning cathedral façades to body-part-shaped liturgical vessels, bodies are everywhere in medieval visual culture. We will pair these images and objects with medieval texts offering period insights into the nature and meanings of bodies, and consider them through a contemporary theoretical lens. By focusing on approaches to representing bodily differences and attitudes toward perceived difference, this course will place special emphasis on how medieval ideas about gender, sexuality, and race found expression in art objects. In addition to smaller assignments throughout the semester, this course will include a final paper / project. A prior HART course is recommended, but not required. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=337&p_subj=HART,N,1,Radical Bodies In Medieval Art
